Year,Percent,Species
2005,55.8,Eurasian water-milfoil
2007,56.5,Eurasian water-milfoil
2008,49.5,Eurasian water-milfoil
2009,61.2,Eurasian water-milfoil
2010,66.8,Eurasian water-milfoil
2011,67.9,Eurasian water-milfoil
2012,75.5,Eurasian water-milfoil
2013,60.8,Eurasian water-milfoil
2014,59.3,Eurasian water-milfoil
2015,70.1,Eurasian water-milfoil
2017,41,Eurasian water-milfoil
2019,36.3,Eurasian water-milfoil
2020,48.6,Eurasian water-milfoil
2021,47.3,Eurasian water-milfoil
2022,45.8,Eurasian water-milfoil
2023,66,Eurasian water-milfoil
2005,30.5,Coontail
2007,39.7,Coontail
2008,44.9,Coontail
2009,43.2,Coontail
2010,28.7,Coontail
2011,22.6,Coontail
2012,35.7,Coontail
2013,64.8,Coontail
2014,77.8,Coontail
2015,40,Coontail
2017,70.2,Coontail
2019,55.1,Coontail
2020,66.4,Coontail
2021,66.2,Coontail
2022,69.5,Coontail
2023,85.1,Coontail
