sampledate,secnview
1996-02-13,3
1996-04-12,1.1
1996-05-02,1.2
1996-05-15,0.8
1996-05-30,1.3
1996-06-11,2
1996-06-24,0.9
1996-07-10,0.8
1996-07-24,0.6
1996-08-07,0.65
1996-08-21,0.9
1996-09-06,0.7
1996-10-01,0.75
1996-10-15,0.8
1996-11-07,0.7
1997-01-15,0.95
1997-04-10,0.7
1997-05-05,0.8
1997-05-16,0.75
1997-06-11,0.5
1997-06-12,0.8
1997-06-24,0.6
1997-07-08,0.6
1997-07-25,0.6
1997-08-19,0.55
1997-09-11,0.7
1997-10-28,0.7
1997-11-20,1.4
1998-02-06,NA
1998-03-25,0.7
1998-04-15,0.7
1998-04-23,0.8
1998-05-12,0.9
1998-05-24,0.9
1998-06-10,0.8
1998-06-24,1
1998-07-07,0.8
1998-07-24,0.7
1998-08-07,0.6
1998-08-19,0.6
1998-08-31,0.6
1998-09-29,0.7
1998-10-26,0.8
1998-11-24,1
1999-01-26,2.6
1999-02-24,1.6
1999-03-30,1
1999-04-13,0.8
1999-04-28,1
1999-05-11,1.4
1999-05-24,0.9
1999-06-08,0.8
1999-06-22,0.7
1999-07-09,0.6
1999-07-19,0.6
1999-08-03,0.7
1999-08-17,0.5
1999-08-31,0.7
1999-09-28,0.7
1999-10-25,0.7
1999-11-29,1.4
2000-01-26,1.2
2000-02-24,2.2
2000-03-16,1.2
2000-03-27,1.3
2000-04-12,1.7
2000-04-26,1.3
2000-05-10,1.2
2000-05-24,1.5
2000-06-05,1.3
2000-06-20,0.9
2000-07-04,0.68
2000-07-18,0.62
2000-08-01,0.6
2000-08-14,0.59
2000-08-29,0.85
2000-09-26,0.62
2000-10-23,1.1
2000-11-20,1.4
2001-01-08,3.1
2001-04-12,1
2001-04-23,0.8
2001-05-07,0.65
2001-05-23,0.4
2001-06-06,0.4
2001-06-18,0.5
2001-07-03,0.5
2001-07-16,0.5
2001-08-01,0.7
2001-08-15,0.4
2001-08-28,0.7
2001-09-24,0.4
2001-10-25,0.4
2001-11-29,0.5
2002-03-19,0.8
2002-03-26,0.7
2002-04-09,0.9
2002-04-22,0.8
2002-05-07,0.7
2002-05-23,0.4
2002-06-06,0.6
2002-06-20,0.5
2002-07-03,0.5
2002-07-18,0.5
2002-07-31,0.5
2002-08-15,0.2
2002-08-28,0.4
2002-09-26,0.4
2002-10-24,0.5
2002-11-20,NA
2003-01-28,1.1
2003-04-03,1
2003-04-17,0.6
2003-05-01,0.5
2003-05-15,0.6
2003-05-29,0.5
2003-06-12,0.5
2003-06-25,0.5
2003-07-10,0.4
2003-07-21,0.5
2003-08-07,0.4
2003-08-22,0.4
2003-09-04,0.35
2003-10-02,0.4
2003-11-06,0.5
2003-11-26,0.6
2004-02-09,0.4
2004-03-31,0.4
2004-04-15,0.6
2004-04-29,0.7
2004-05-13,0.9
2004-05-26,1.2
2004-06-10,1.4
2004-06-24,0.9
2004-07-09,0.6
2004-07-22,0.7
2004-08-04,0.7
2004-08-18,0.5
2004-10-08,0.6
2004-11-08,0.5
2005-02-09,1.3
2005-04-11,0.4
2005-04-29,0.8
2005-05-12,0.5
2005-05-25,1
2005-06-08,1
2005-06-22,0.9
2005-07-06,0.7
2005-07-22,0.7
2005-08-04,0.6
2005-08-16,1.1
2005-08-31,0.85
2005-09-29,0.6
2005-10-26,0.6
2005-11-22,0.9
2006-02-22,0.5
2006-04-10,0.6
2006-04-19,0.6
2006-05-08,0.8
2006-05-17,0.9
2006-06-01,1.1
2006-06-14,0.8
2006-06-28,0.5
2006-07-12,0.7
2006-07-26,0.6
2006-08-09,0.7
2006-08-22,0.75
2006-09-14,0.6
2006-10-04,0.8
2006-11-02,0.9
2006-11-28,1.2
2007-03-08,0.8
2007-04-03,0.8
2007-04-18,0.6
2007-05-03,1.2
2007-05-15,1
2007-05-30,1
2007-06-13,0.9
2007-06-26,0.5
2007-07-11,0.5
2007-07-24,0.6
2007-08-08,0.8
2007-08-21,0.9
2007-09-05,1
2007-10-03,0.5
2007-10-31,0.7
2008-02-18,3.5
2008-04-15,1.1
2008-04-29,1
2008-05-13,1.9
2008-05-29,1.8
2008-06-11,1.3
2008-06-25,1.2
2008-07-09,1
2008-07-22,1.1
2008-08-06,0.8
2008-08-19,0.7
2008-09-08,1
2008-10-06,1.6
2008-11-03,1.6
2009-02-16,1.6
2009-04-13,1.1
2009-04-29,1.3
2009-05-12,3.8
2009-05-27,1.5
2009-06-11,1.1
2009-06-22,1.2
2009-07-07,0.9
2009-07-21,1.3
2009-08-03,1
2009-08-17,1.6
2009-08-31,1.4
2009-10-02,1.5
2009-11-04,1.6
2010-02-05,2
2010-03-30,1.6
2010-04-14,1
2010-04-27,1
2010-05-12,0.9
2010-05-26,0.8
2010-06-10,1.1
2010-06-22,1.1
2010-07-07,1.2
2010-07-21,0.9
2010-08-05,0.9
2010-08-17,0.9
2010-08-31,0.9
2010-10-08,0.7
2010-11-10,1.1
2011-01-27,1.1
2011-03-16,NA
2011-04-20,NA
2011-05-04,1.5
2011-05-18,1.9
2011-06-01,1.1
2011-06-15,1.3
2011-06-28,1.2
2011-07-13,1.2
2011-07-26,1.4
2011-08-10,0.9
2011-08-23,1.1
2011-09-15,1.2
2011-10-05,1.8
2011-11-01,2.9
2012-02-16,2.6
2012-04-04,1.5
2012-04-18,1.9
2012-05-03,2.6
2012-05-17,2.9
2012-05-30,1.5
2012-06-13,2
2012-06-26,1.6
2012-07-12,2.5
2012-07-24,1.1
2012-08-08,1.1
2012-08-24,1.4
