year4,secchi_median,secchi_min,secchi_max,removal
1996,0.975,0.6,2,before
1997,0.6083333333333334,0.5,0.8,before
1998,0.7285714285714285,0.6,1,before
1999,0.6571428571428571,0.5,0.8,before
2000,0.7914285714285715,0.59,1.3,before
2001,0.5285714285714286,0.4,0.7,before
2002,0.45714285714285713,0.2,0.6,before
2003,0.45,0.4,0.5,before
2004,0.7999999999999999,0.5,1.4,before
2005,0.8357142857142857,0.6,1.1,before
2006,0.7357142857142858,0.5,1.1,before
2007,0.7,0.5,0.9,before
2008.2,1.0166666666666666,0.7,1.3,after
2009,1.2142857142857144,0.9,1.6,after
2010,1,0.9,1.2,after
2011,1.1714285714285715,0.9,1.4,after
2012,1.6166666666666667,1.1,2.5,after
2013,0.9833333333333334,0.6,1.5,after
2014,1.1142857142857143,1,1.2,after
2015,1.5333333333333332,1.1,1.9,after
2016,1.75,1.3,2.4,after
2017,0.9571428571428572,0.7,1.5,after
2018,1.3666666666666667,0.8,2,after
2019,1.15,0.9,1.5,after
2020,1.8,1.8,1.8,after
2021,1.175,0.9,1.6,after
2022,1.35,1,1.7,after
2023,1.4642857142857144,1,1.8,after
