year4,sampledate,totpuf,totpuf_sloh,tp,tp_diff,tp_use
1996,1996-05-02,0.036,0.029,0.036,0.006999999999999996,0.036
1996,1996-05-15,0.05,0.033,0.05,0.017,0.05
1996,1996-05-30,0.045,0.032,0.045,0.012999999999999998,0.045
1996,1996-06-11,0.036,0.033,0.036,0.0029999999999999957,0.036
1996,1996-06-24,0.039,0.037,0.039,0.0020000000000000018,0.039
1996,1996-07-10,0.052,0.039,0.052,0.012999999999999998,0.052
1996,1996-07-24,0.063,0.058,0.063,0.0049999999999999975,0.063
1996,1996-08-07,0.033,0.046,0.033,-0.012999999999999998,0.033
1996,1996-08-21,0.043,0.036,0.043,0.006999999999999999,0.043
1996,1996-09-06,0.036,NA,0.036,NA,0.036
1996,1996-09-17,NA,NA,NA,NA,NA
1997,1997-05-05,0.051,0.064,0.051,-0.013000000000000005,0.051
1997,1997-05-16,0.047,NA,0.047,NA,0.047
1997,1997-06-11,0.038,0.024,0.038,0.013999999999999999,0.038
1997,1997-06-24,NA,0.031,0.031,NA,0.031
1997,1997-07-08,0.042,0.063,0.042,-0.020999999999999998,0.042
1997,1997-07-25,0.057,0.055,0.057,0.0020000000000000018,0.057
1997,1997-08-19,0.061,NA,0.061,NA,0.061
1997,1997-09-11,0.027,NA,0.027,NA,0.027
1998,1998-05-12,0.022,0.026,0.022,-0.004,0.022
1998,1998-05-24,NA,0.032,0.032,NA,0.032
1998,1998-06-10,0.036,0.039,0.036,-0.0030000000000000027,0.036
1998,1998-06-24,0.032,0.036,0.032,-0.003999999999999997,0.032
1998,1998-07-07,0.047,NA,0.047,NA,0.047
1998,1998-07-24,0.049,NA,0.049,NA,0.049
1998,1998-08-07,0.055,NA,0.055,NA,0.055
1998,1998-08-19,0.037,NA,0.037,NA,0.037
1998,1998-08-31,0.038,NA,0.038,NA,0.038
1998,1998-09-29,0.027,NA,0.027,NA,0.027
1999,1999-05-11,0.001,0.034,0.034,-0.033,0.034
1999,1999-05-24,0.006,0.034,0.034,-0.028000000000000004,0.034
1999,1999-06-08,0.02,0.05,0.02,-0.030000000000000002,0.02
1999,1999-06-22,0.011,0.041,0.041,-0.030000000000000002,0.041
1999,1999-07-09,NA,0.056,0.056,NA,0.056
1999,1999-07-19,0.059,0.065,0.059,-0.006000000000000005,0.059
1999,1999-08-03,0.05,0.061,0.05,-0.010999999999999996,0.05
1999,1999-08-17,0.056,0.066,0.056,-0.010000000000000002,0.056
1999,1999-08-31,0.043,0.054,0.043,-0.011000000000000003,0.043
1999,1999-09-28,0.049,0.059,0.049,-0.009999999999999995,0.049
2000,2000-05-10,0.035,0.036,0.035,-9.99999999999994e-4,0.035
2000,2000-05-24,0.026,0.028,0.026,-0.0020000000000000018,0.026
2000,2000-06-05,0.046,0.052,0.046,-0.005999999999999998,0.046
2000,2000-06-20,0.048,0.048,0.048,0,0.048
2000,2000-07-04,0.056,0.058,0.056,-0.0020000000000000018,0.056
2000,2000-07-18,0.082,0.074,0.082,0.008000000000000007,0.082
2000,2000-08-01,0.081,0.08,0.081,0.0010000000000000009,0.081
2000,2000-08-14,0.059,0.068,0.059,-0.009000000000000008,0.059
2000,2000-08-29,0.045,0.05,0.045,-0.0050000000000000044,0.045
2000,2000-09-26,0.056,0.063,0.056,-0.006999999999999999,0.056
2001,2001-05-07,0.05,0.047,0.05,0.0030000000000000027,0.05
2001,2001-05-23,0.074,0.03,0.074,0.044,0.074
2001,2001-06-06,0.075,0.088,0.075,-0.012999999999999998,0.075
2001,2001-06-18,0.065,0.075,0.065,-0.009999999999999995,0.065
2001,2001-07-03,0.08,0.084,0.08,-0.0040000000000000036,0.08
