sample_date,species_name,larger_group,density,avg_length,individuals_measured,ug_m2,ug_m3,ug_L
2007-03-08,copepod nauplii,COPEPODA,310529,0.5731928104575164,NA,361519.745907388,120506.58196912933,120.50658196912933
2007-03-08,copepodites,COPEPODA,14854,0.44,21,14598.456751080988,4866.152250360329,4.866152250360329
2007-03-08,diacyclops thomasi,COPEPODA,103274,0.44,NA,184411.8609188372,61470.62030627907,61.470620306279066
2007-03-08,diaptomid,COPEPODA,15562,1.1102891156462584,NA,57523.77271772818,19174.590905909394,19.174590905909394
2007-03-08,daphnia pulicaria,CLADOCERA,707,0.99,3,4811.159946420277,1603.7199821400925,1.6037199821400925
2007-03-08,sinobosmina fryei,CLADOCERA,25229,0.57,78,127819.87692347013,42606.62564115671,42.60662564115671
2007-04-18,copepod nauplii,COPEPODA,163399,0.5731928104575164,NA,190230.1072090571,63410.03573635237,63.41003573635237
2007-04-18,copepodites,COPEPODA,66491,0.43,81,61839.25693737571,20613.085645791904,20.613085645791905
2007-04-18,diacyclops thomasi,COPEPODA,109640,0.44,NA,195779.34844337692,65259.78281445897,65.25978281445897
2007-04-18,diaptomid,COPEPODA,12025,1.1102891156462584,NA,44449.515931800626,14816.505310600209,14.816505310600208
2007-04-18,chydorus,CLADOCERA,9903,0.32,42,14613.112880481816,4871.037626827272,4.871037626827272
2007-04-18,daphnia pulicaria,CLADOCERA,13204,0.92,56,73605.63405244576,24535.211350815254,24.535211350815253
2007-04-18,sinobosmina fryei,CLADOCERA,6602,0.44,28,18783.373685048493,6261.124561682831,6.261124561682831
2007-07-11,copepod nauplii,COPEPODA,36075,0.5731928104575164,NA,41998.73388188872,13999.577960629575,13.999577960629574
2007-07-11,copepodites,COPEPODA,707,0.39,1,520.1775143670459,173.3925047890153,0.1733925047890153
2007-07-11,diacyclops thomasi,COPEPODA,16269,0.44,NA,29050.84111478748,9683.61370492916,9.68361370492916
2007-07-11,diaptomid,COPEPODA,31831,1.1102891156462584,NA,117660.91822246535,39220.306074155116,39.22030607415512
2007-07-11,chydorus,CLADOCERA,3301,0.28,12,3739.5610364944896,1246.5203454981631,1.246520345498163
2007-07-11,daphnia retrocurva,CLADOCERA,7074,1.03,30,57928.073157634615,19309.357719211537,19.309357719211537
2007-07-11,diaphanosoma birgei,CLADOCERA,69085,0.74,90,255724.15409959198,85241.384699864,85.241384699864
2007-07-11,sinobosmina fryei,CLADOCERA,71207,0.4,90,163814.49720817167,54604.83240272389,54.60483240272389
2007-08-08,copepod nauplii,COPEPODA,20513,0.5731928104575164,NA,23881.359060822822,7960.453020274274,7.960453020274274
2007-08-08,copepodites,COPEPODA,2122,0.43,3,1973.543836325386,657.8479454417953,0.6578479454417954
2007-08-08,diacyclops thomasi,COPEPODA,11318,0.44,NA,20210.057147775813,6736.685715925271,6.7366857159252715
2007-08-08,diaptomid,COPEPODA,6366,1.1102891156462584,NA,23531.444359404806,7843.814786468269,7.843814786468268
2007-08-08,chydorus,CLADOCERA,1415,0.34,6,2354.2531867625635,784.7510622541878,0.7847510622541878
2007-08-08,daphnia retrocurva,CLADOCERA,31831,0.78,90,121172.54733436233,40390.84911145411,40.39084911145411
2007-08-08,diaphanosoma birgei,CLADOCERA,62955,0.71,90,223164.57715530126,74388.19238510042,74.38819238510042
2007-08-08,sinobosmina fryei,CLADOCERA,31595,0.37,90,61090.62106416374,20363.540354721245,20.363540354721245
2007-09-05,copepod nauplii,COPEPODA,14147,0.5731928104575164,NA,16470.023235677887,5490.007745225962,5.490007745225962
2007-09-05,copepodites,COPEPODA,2122,0.49,3,2700.1822376353016,900.0607458784339,0.9000607458784339
2007-09-05,diacyclops thomasi,COPEPODA,11318,0.44,NA,20210.057147775813,6736.685715925271,6.7366857159252715
2007-09-05,diaptomid,COPEPODA,7781,1.1102891156462584,NA,28761.88635886409,9587.295452954697,9.587295452954697
2007-09-05,chydorus,CLADOCERA,472,0.23,2,362.24256947416546,120.74752315805516,0.12074752315805516
2007-09-05,daphnia retrocurva,CLADOCERA,30180,0.86,90,150350.2914359024,50116.763811967474,50.11676381196747
2007-09-05,diaphanosoma birgei,CLADOCERA,11553,0.73,49,42160.37435950148,14053.458119833827,14.053458119833827
2007-09-05,sinobosmina fryei,CLADOCERA,30652,0.44,90,87208.11423721696,29069.371412405653,29.069371412405655
2007-10-31,copepod nauplii,COPEPODA,14147,0.5731928104575164,NA,16470.023235677887,5490.007745225962,5.490007745225962
2007-10-31,copepodites,COPEPODA,3537,0.43,5,3289.549740378365,1096.5165801261217,1.0965165801261216
2007-10-31,diacyclops thomasi,COPEPODA,9196,0.44,4,16420.8946395959,5473.631546531967,5.4736315465319665
2007-10-31,diaptomid,COPEPODA,14854,1.1102891156462584,NA,54906.70350527788,18302.234501759292,18.302234501759294
2007-10-31,chydorus,CLADOCERA,707,0.27,3,745.2949598169769,248.43165327232563,0.24843165327232564
2007-10-31,daphnia retrocurva,CLADOCERA,15798,0.86,67,78702.24997032428,26234.083323441428,26.23408332344143
2007-10-31,sinobosmina fryei,CLADOCERA,60361,0.43,91,163154.35772424575,54384.78590808192,54.384785908081916
2008-02-18,copepod nauplii,COPEPODA,26880,0.5731928104575164,NA,31293.85909203517,10431.286364011723,10.431286364011722
2008-02-18,copepodites,COPEPODA,12025,0.45,17,12473.03734163321,4157.679113877736,4.1576791138777365
2008-02-18,diacyclops thomasi,COPEPODA,12025,0.44,NA,21472.516098427648,7157.505366142549,7.157505366142549
2008-02-18,diaptomid,COPEPODA,25465,1.1102891156462584,NA,94129.47386306054,31376.491287686847,31.376491287686846
